scale,compression,max_rank,erank
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.265289306640625,50,24.8471121857945
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.265289306640625,50,24.8471121857945
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.267608642578125,51,24.95580149699807
8,0.265289306640625,50,24.8471121857945
9,0.12105560302734375,64,31.428632184314992
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
9,0.1218414306640625,64,31.530678160007884
