method,scale,error,serror,time,rmax,erank
dd TTI,21,0.0026270247657717597,3.905395707523279e-06,0.17562222480773926,85,0.003939628601074219
cross,22,1.5371608690383005e-10,7.045800368017738e-13,20.540548316203058,29,0.0018324851989746094
TTI,22,3.358066841927299e-13,3.354079052274134e-15,0.16678881645202637,30,0.0019774436950683594
d cross,22,0.00013642873853201345,4.159799295556016e-06,20.556515685282648,33,0.002669811248779297
d TTTI,22,2.449821513291732e-06,7.951452536691694e-09,0.16484570503234863,38,0.0019774436950683594
dd cross,22,433.20733713783045,8.516221383593198,20.560538760386407,35,0.0031290054321289062
dd TTI,22,0.002633169663851788,3.4141832876271147e-06,0.174544095993042,85,0.0019774436950683594
cross,23,1.4247337449314305e-10,8.662149495770564e-13,28.512832305394113,28,0.0009326934814453125
TTI,23,3.347938254560999e-13,4.097836448966978e-15,0.16823196411132812,30,0.0009925365447998047
d cross,23,7.93124519045255e-05,2.531435394462939e-06,28.5323294615373,32,0.0013821125030517578
d TTTI,23,2.4131139630347336e-06,8.135694099156775e-09,0.17210030555725098,38,0.0009925365447998047
dd cross,23,695.4762449876603,34.521446554500656,28.53442396875471,34,0.0016252994537353516
dd TTI,23,0.0026369660146322903,2.8738972011525583e-06,0.18313980102539062,86,0.0009925365447998047
cross,24,1.3984066467086708e-10,8.693926605202873e-13,126.35811300761998,29,0.0004782676696777344
TTI,24,3.3646605937198524e-13,4.090520210487146e-15,0.1684403419494629,30,0.0005029439926147461
d cross,24,8.057089257006779e-06,6.449763364733684e-06,126.37965388782322,33,0.000706791877746582
d TTTI,24,2.406907322198813e-06,9.270905902653086e-09,0.17217373847961426,38,0.0005029439926147461
dd cross,24,4926.439388874108,226.35245202347005,126.38680668361485,35,0.0008357763290405273
dd TTI,24,0.002638191308671993,4.250229666730117e-06,0.183366060256958,86,0.0005029439926147461
cross,25,1.5317436583056299e-10,1.1055241157772709e-12,98.72682962194085,30,0.00037020444869995117
TTI,25,3.3574612699452415e-13,4.3362789412958394e-15,0.17067599296569824,30,0.00025200843811035156
d cross,25,0.00015281944593094986,2.923710508248704e-05,98.78396901860833,34,0.0005744099617004395
d TTTI,25,2.40033594072395e-06,1.0771237937207589e-08,0.17373108863830566,38,0.00025200843811035156
dd cross,25,140793.9642375764,810.2163320543001,98.76461229100823,36,0.0006647706031799316
dd TTI,25,0.0026378292990134633,2.3500392281442437e-06,0.18474364280700684,86,0.00025200843811035156
cross,26,1.6757372916328323e-10,1.0957876367663619e-12,70.10488933511078,30,0.00026547908782958984
TTI,26,3.356965329961138e-13,3.499401838698876e-15,0.1670694351196289,31,0.00013044476509094238
d cross,26,0.00011686460989809428,6.602296205865088e-05,70.14516991563141,35,0.000390857458114624
d TTTI,26,2.4042164907155354e-06,8.15813486825829e-09,0.1676921844482422,38,0.00013044476509094238
dd cross,26,2817464.8437863425,10365.626952440605,70.15243286080658,37,0.0004458129405975342
dd TTI,26,0.002639069069443121,3.840514944050224e-06,0.1773369312286377,86,0.00013044476509094238
cross,27,1.4398788151465518e-10,6.598052439110681e-13,174.0230816649273,47,0.0004176497459411621
TTI,27,3.37983366160321e-13,4.460711089287526e-15,0.17142891883850098,31,6.535649299621582e-05
d cross,27,5.5684958400844015e-05,3.31707893567143e-05,174.10726440418512,53,0.0005669146776199341
d TTTI,27,2.403238217494848e-06,8.453338265636432e-09,0.17391419410705566,39,6.535649299621582e-05
dd cross,27,3491694.9332097853,10285.444362300304,174.11414111126214,55,0.0006129294633865356
dd TTI,27,0.002636533021010101,4.114209655485225e-06,0.1846318244934082,86,6.535649299621582e-05
cross,28,1.3968752348926106e-10,6.204284643628484e-13,580.5166213298216,92,0.0006339550018310547
TTI,28,3.3749180709395343e-13,3.799819965675388e-15,0.16878962516784668,31,3.2745301723480225e-05
d cross,28,2.8142137999453965e-05,5.394262561836237e-05,580.7007643962279,96,0.0008090883493423462
d TTTI,28,2.403931187836715e-06,8.451198905696609e-09,0.16840291023254395,39,3.2745301723480225e-05
dd cross,28,18769484.83317695,35209.465430511635,580.725941398181,98,0.0008470267057418823
dd TTI,28,0.0026360456434650786,4.9899292834318164e-06,0.17716455459594727,87,3.2745301723480225e-05
cross,19,3.22130860414111e-10,2.466824299666762e-12,5.938334807753563,27,0.013614654541015625
TTI,19,2.1491261216021688e-15,1.680609279320178e-17,0.16379237174987793,30,0.01560211181640625
d cross,19,1.3735328609284765e-05,1.513540784749902e-07,5.954173192381859,31,0.019420623779296875
d TTTI,19,4.243045902754064e-06,1.0125808780400739e-08,0.16854643821716309,39,0.01560211181640625
dd cross,19,3.9289313619004447,0.032715889658218165,5.957740172743797,33,0.0225372314453125
dd TTI,19,0.0024466714748648632,5.05197672491665e-06,0.1793973445892334,83,0.01560211181640625
cross,20,1.522054725232558e-10,7.658731638302849e-13,10.303572127595544,27,0.006984710693359375
TTI,20,3.2435377705854143e-13,4.6925367764122465e-15,0.16017460823059082,30,0.007831573486328125
d cross,20,3.199134087946166e-05,6.538985449503622e-07,10.319632241502404,31,0.010028839111328125
d TTTI,20,3.037946762995323e-06,7.66652556820243e-09,0.16264915466308594,39,0.007831573486328125
dd cross,20,22.9681067920706,0.5616419288600443,10.32336158491671,33,0.011674880981445312
dd TTI,20,0.0025984479169726066,4.668077397725567e-06,0.1725451946258545,84,0.007831573486328125
cross,21,1.5380041315627766e-10,7.345936336278632e-13,13.61635553278029,30,0.0037660598754882812
TTI,21,3.343646186856636e-13,3.95199378532427e-15,0.16591358184814453,30,0.003939628601074219
d cross,21,0.00010239150566298233,1.35872322154219e-06,13.633269185200334,34,0.005387306213378906
