run_idx,separation,flatness
0,0.0009765625,9.892907234395189
0,0.001953125,9.370138456535182
0,0.0029296875,8.389535124971927
0,0.00390625,7.302854486464293
0,0.0048828125,6.280052080511014
0,0.005859375,5.5482754212056316
0,0.0068359375,5.138086551380343
0,0.0078125,4.91200576252697
0,0.0087890625,4.725093892696994
0,0.009765625,4.547203782002029
0,0.0107421875,4.411951661597765
0,0.01171875,4.366275143500611
0,0.0126953125,4.3908490813981365
0,0.013671875,4.414869272795214
0,0.0146484375,4.3989702067701835
0,0.015625,4.366734872711406
0,0.0166015625,4.339867235859916
0,0.017578125,4.316805234257921
0,0.0185546875,4.286948414440274
0,0.01953125,4.254346000193196
0,0.0205078125,4.228672254485976
0,0.021484375,4.212233370481108
0,0.0224609375,4.196892854253689
0,0.0234375,4.17796801722001
0,0.0244140625,4.155640762155563
0,0.025390625,4.1369610777347186
0,0.0263671875,4.125909326957313
0,0.02734375,4.113894086218401
0,0.0283203125,4.088892095711963
0,0.029296875,4.057715283538717
0,0.0302734375,4.0329479106268336
0,0.03125,4.012716906640579
0,0.0322265625,3.989306985697773
0,0.033203125,3.9694233241890444
0,0.0341796875,3.9577455173619835
0,0.03515625,3.9463620545028895
0,0.0361328125,3.9280410511924937
0,0.037109375,3.90827987764992
0,0.0380859375,3.8925211147286833
0,0.0390625,3.878542622654773
0,0.0400390625,3.8627386184205657
0,0.041015625,3.844733542198471
0,0.0419921875,3.8237936330605953
0,0.04296875,3.802333202507498
0,0.0439453125,3.7833025195216985
0,0.044921875,3.766730975579123
0,0.0458984375,3.7498690254655904
0,0.046875,3.7307559951944085
0,0.0478515625,3.708962226379916
0,0.048828125,3.6874549351136126
0,0.0498046875,3.6676795006117318
0,0.05078125,3.6502804749215585
0,0.0517578125,3.634798083733066
0,0.052734375,3.618956811931168
0,0.0537109375,3.600341431606538
0,0.0546875,3.5805705934087437
0,0.0556640625,3.563255572575491
0,0.056640625,3.551530256708992
0,0.0576171875,3.5437283230873193
0,0.05859375,3.533073931443791
0,0.0595703125,3.5160316713895328
0,0.060546875,3.499518927010206
0,0.0615234375,3.488856147051895
0,0.0625,3.4789061050580217
0,0.0634765625,3.4642100653962045
0,0.064453125,3.4492100661075953
0,0.0654296875,3.4376165106949843
0,0.06640625,3.426736279115185
0,0.0673828125,3.4143135885917855
0,0.068359375,3.402699541891431
0,0.0693359375,3.3935918485270067
0,0.0703125,3.3868101285689782
0,0.0712890625,3.3811334671175413
0,0.072265625,3.375385388504031
0,0.0732421875,3.369244297761678
0,0.07421875,3.3642292763864234
0,0.0751953125,3.3612735296924265
0,0.076171875,3.3598885659753646
0,0.0771484375,3.3590212239141413
0,0.078125,3.3584874831808
0,0.0791015625,3.358279387024243
0,0.080078125,3.358713653084721
0,0.0810546875,3.359125301026141
0,0.08203125,3.3591148415913694
0,0.0830078125,3.3587947476724147
0,0.083984375,3.3584252043755907
0,0.0849609375,3.3580480774260235
0,0.0859375,3.357738435081976
0,0.0869140625,3.357242420618887
0,0.087890625,3.3573621559670888
0,0.0888671875,3.3585063154234285
0,0.08984375,3.3591865162710324
0,0.0908203125,3.3580289320415164
0,0.091796875,3.356852911974429
0,0.0927734375,3.3572949501241416
0,0.09375,3.357556015740906
0,0.0947265625,3.3555934437728006
0,0.095703125,3.3531022473733705
0,0.0966796875,3.351394777435093
0,0.09765625,3.3493516413431346
0,0.0986328125,3.3464194760357233
0,0.099609375,3.344023256529595
0,0.1005859375,3.342753778426342
0,0.1015625,3.3417083519448068
0,0.1025390625,3.3398870945813197
0,0.103515625,3.33731324410726
0,0.1044921875,3.3341477356871776
0,0.10546875,3.330858111011618
0,0.1064453125,3.3276119345460917
0,0.107421875,3.3240660106997266
0,0.1083984375,3.3201873283294234
0,0.109375,3.3167982193128207
0,0.1103515625,3.3139772096850733
0,0.111328125,3.311037519028498
0,0.1123046875,3.3073470966524625
0,0.11328125,3.3035815358489353
0,0.1142578125,3.300676751492134
0,0.115234375,3.2984749656526504
0,0.1162109375,3.2959129119205337
0,0.1171875,3.2926853273238987
0,0.1181640625,3.2892369869272473
0,0.119140625,3.286527506358576
0,0.1201171875,3.284916192976741
0,0.12109375,3.2835085263182644
0,0.1220703125,3.2812494798032183
0,0.123046875,3.2789508761079205
0,0.1240234375,3.277580509996033
0,0.125,3.276008287941898
0,0.1259765625,3.272914398864791
0,0.126953125,3.2697603665012993
0,0.1279296875,3.2678658442527277
