Dimension,compression,MaxRank
5,1.44158935546875,43
5,1.474639892578125,52
5,1.4659423828125,52
5,1.44158935546875,43
5,1.474639892578125,52
5,1.4659423828125,52
5,1.44158935546875,43
5,1.474639892578125,52
5,1.4659423828125,52
5,1.44158935546875,43
5,1.474639892578125,52
5,1.4659423828125,52
5,1.44158935546875,43
5,1.474639892578125,52
5,1.4659423828125,52
5,1.44158935546875,43
5,1.474639892578125,52
5,1.4659423828125,52
5,1.44158935546875,43
5,1.474639892578125,52
5,1.4659423828125,52
5,1.44158935546875,43
5,1.474639892578125,52
5,1.4659423828125,52
5,1.44158935546875,43
5,1.474639892578125,52
5,1.4659423828125,52
5,1.44158935546875,43
5,1.474639892578125,52
5,1.4659423828125,52
6,1.0890541076660156,66
6,1.2602348327636719,85
6,1.2574882507324219,85
6,1.0890541076660156,66
6,1.2602348327636719,85
6,1.2574882507324219,85
6,1.0890541076660156,66
6,1.2602348327636719,85
6,1.2574882507324219,85
6,1.0890541076660156,66
6,1.2602348327636719,85
6,1.2574882507324219,85
6,1.0890541076660156,66
6,1.2602348327636719,85
6,1.2574882507324219,85
6,1.0890541076660156,66
6,1.2602348327636719,85
6,1.2574882507324219,85
6,1.0890541076660156,66
6,1.2602348327636719,85
6,1.2574882507324219,85
6,1.0890541076660156,66
6,1.2602348327636719,85
6,1.2574882507324219,85
6,1.0890541076660156,66
6,1.2602348327636719,85
6,1.2574882507324219,85
6,1.0890541076660156,66
6,1.2602348327636719,85
6,1.2574882507324219,85
7,0.7636332511901855,125
7,0.7665972709655762,125
7,0.7636332511901855,125
7,0.7636332511901855,125
7,0.7665972709655762,125
7,0.7636332511901855,125
7,0.7636332511901855,125
7,0.7665972709655762,125
7,0.7636332511901855,125
7,0.7636332511901855,125
7,0.7665972709655762,125
7,0.7636332511901855,125
7,0.7636332511901855,125
7,0.7665972709655762,125
7,0.7636332511901855,125
7,0.7636332511901855,125
7,0.7665972709655762,125
7,0.7636332511901855,125
7,0.7636332511901855,125
7,0.7665972709655762,125
7,0.7636332511901855,125
7,0.7636332511901855,125
7,0.7665972709655762,125
7,0.7636332511901855,125
7,0.7636332511901855,125
7,0.7665972709655762,125
7,0.7636332511901855,125
7,0.7636332511901855,125
7,0.7665972709655762,125
7,0.7636332511901855,125
8,0.2356089949607849,165
8,0.23611301183700562,165
8,0.2355923056602478,165
8,0.2356089949607849,165
8,0.23611301183700562,165
8,0.2355923056602478,165
8,0.2356089949607849,165
8,0.23611301183700562,165
8,0.2355923056602478,165
8,0.2356089949607849,165
8,0.23611301183700562,165
8,0.2355923056602478,165
8,0.2356089949607849,165
8,0.23611301183700562,165
8,0.2355923056602478,165
8,0.2356089949607849,165
8,0.23611301183700562,165
8,0.2355923056602478,165
8,0.2356089949607849,165
8,0.23611301183700562,165
8,0.2355923056602478,165
8,0.2356089949607849,165
8,0.23611301183700562,165
8,0.2355923056602478,165
8,0.2356089949607849,165
8,0.23611301183700562,165
8,0.2355923056602478,165
8,0.2356089949607849,165
8,0.23611301183700562,165
