Dimension,compression,MaxRank
5,0.963226318359375,31
5,0.6912841796875,35
5,0.669769287109375,35
5,0.963226318359375,31
5,0.6912841796875,35
5,0.669769287109375,35
5,0.963226318359375,31
5,0.6912841796875,35
5,0.669769287109375,35
5,0.963226318359375,31
5,0.6912841796875,35
5,0.669769287109375,35
5,0.963226318359375,31
5,0.6912841796875,35
5,0.669769287109375,35
5,0.963226318359375,31
5,0.6912841796875,35
5,0.669769287109375,35
5,0.963226318359375,31
5,0.6912841796875,35
5,0.669769287109375,35
5,0.963226318359375,31
5,0.6912841796875,35
5,0.669769287109375,35
5,0.963226318359375,31
5,0.6912841796875,35
5,0.669769287109375,35
5,0.963226318359375,31
5,0.6912841796875,35
5,0.669769287109375,35
6,0.5009040832519531,63
6,0.37976837158203125,51
6,0.4513893127441406,63
6,0.5009040832519531,63
6,0.37976837158203125,51
6,0.4513893127441406,63
6,0.5009040832519531,63
6,0.37976837158203125,51
6,0.4513893127441406,63
6,0.5009040832519531,63
6,0.37976837158203125,51
6,0.4513893127441406,63
6,0.5009040832519531,63
6,0.37976837158203125,51
6,0.4513893127441406,63
6,0.5009040832519531,63
6,0.37976837158203125,51
6,0.4513893127441406,63
6,0.5009040832519531,63
6,0.37976837158203125,51
6,0.4513893127441406,63
6,0.5009040832519531,63
6,0.37976837158203125,51
6,0.4513893127441406,63
6,0.5009040832519531,63
6,0.37976837158203125,51
6,0.4513893127441406,63
6,0.5009040832519531,63
6,0.37976837158203125,51
6,0.4513893127441406,63
7,0.24724531173706055,127
7,0.1756000518798828,71
7,0.24724531173706055,127
7,0.24724531173706055,127
7,0.1756000518798828,71
7,0.24724531173706055,127
7,0.24724531173706055,127
7,0.1756000518798828,71
7,0.24724531173706055,127
7,0.24724531173706055,127
7,0.1756000518798828,71
7,0.24724531173706055,127
7,0.24724531173706055,127
7,0.1756000518798828,71
7,0.24724531173706055,127
7,0.24724531173706055,127
7,0.1756000518798828,71
7,0.24724531173706055,127
7,0.24724531173706055,127
7,0.1756000518798828,71
7,0.24724531173706055,127
7,0.24724531173706055,127
7,0.1756000518798828,71
7,0.24724531173706055,127
7,0.24724531173706055,127
7,0.1756000518798828,71
7,0.24724531173706055,127
7,0.24724531173706055,127
7,0.1756000518798828,71
7,0.24724531173706055,127
8,0.10883718729019165,255
8,0.07015407085418701,128
8,0.10883718729019165,255
8,0.10883718729019165,255
8,0.07015407085418701,128
8,0.10883718729019165,255
8,0.10843139886856079,254
8,0.07015407085418701,128
8,0.10883718729019165,255
8,0.10883718729019165,255
8,0.07015407085418701,128
8,0.10883718729019165,255
8,0.10883718729019165,255
8,0.07015407085418701,128
8,0.10883718729019165,255
8,0.10883718729019165,255
8,0.07015407085418701,128
8,0.10883718729019165,255
8,0.10883718729019165,255
8,0.07015407085418701,128
8,0.10843139886856079,254
8,0.10883718729019165,255
8,0.07015407085418701,128
8,0.10883718729019165,255
8,0.10883718729019165,255
8,0.07015407085418701,128
8,0.10883718729019165,255
8,0.10883718729019165,255
8,0.07015407085418701,128
8,0.10883718729019165,255
9,0.038146309554576874,455
9,0.025729656219482422,256
9,0.03806640952825546,454
9,0.03798650950193405,453
9,0.025729656219482422,256
9,0.038146309554576874,455
9,0.03806640952825546,454
9,0.025729656219482422,256
9,0.038146309554576874,455
9,0.03806640952825546,454
9,0.025729656219482422,256
9,0.03806640952825546,454
9,0.03798650950193405,453
9,0.025729656219482422,256
9,0.03806640952825546,454
9,0.03798650950193405,453
9,0.025729656219482422,256
9,0.03798650950193405,453
9,0.038146309554576874,455
9,0.025729656219482422,256
9,0.03806640952825546,454
9,0.03806640952825546,454
9,0.025729656219482422,256
9,0.038146309554576874,455
9,0.03806640952825546,454
9,0.025729656219482422,256
9,0.03806640952825546,454
9,0.038146309554576874,455
9,0.025729656219482422,256
9,0.03806640952825546,454
10,0.010102887637913227,654
10,0.00800279714167118,456
10,0.010088366456329823,653
10,0.010088366456329823,653
10,0.00800279714167118,456
10,0.010088366456329823,653
10,0.010102887637913227,654
10,0.00800279714167118,456
10,0.010088366456329823,653
10,0.010102887637913227,654
10,0.00800279714167118,456
10,0.010102887637913227,654
10,0.010088366456329823,653
10,0.00800279714167118,456
10,0.010088366456329823,653
10,0.010102887637913227,654
10,0.00800279714167118,456
10,0.010088366456329823,653
10,0.010088366456329823,653
10,0.00800279714167118,456
10,0.010088366456329823,653
10,0.010088366456329823,653
10,0.00800279714167118,456
10,0.010102887637913227,654
10,0.010102887637913227,654
10,0.00800279714167118,456
10,0.010102887637913227,654
10,0.010102887637913227,654
10,0.00800279714167118,456
10,0.010102887637913227,654
11,0.002295660669915378,852
11,0.0019567455165088177,656
11,0.002295452984981239,852
11,0.002295660669915378,852
11,0.0019567455165088177,656
11,0.0022957579931244254,852
11,0.0022953556617721915,852
11,0.0019567455165088177,656
11,0.0022957579931244254,852
11,0.0022981351939961314,853
11,0.0019567455165088177,656
11,0.0022982325172051787,853
11,0.002298654173500836,853
11,0.0019567455165088177,656
11,0.0022957579931244254,852
11,0.0022981351939961314,853
11,0.0019567455165088177,656
11,0.0022982325172051787,853
11,0.002298348699696362,853
11,0.0019567455165088177,656
11,0.002295260434038937,852
11,0.002295660669915378,852
11,0.0019567455165088177,656
11,0.002298253239132464,853
11,0.0022953556617721915,852
11,0.0019567455165088177,656
11,0.0022957579931244254,852
11,0.002298654173500836,853
11,0.0019567455165088177,656
11,0.0022957579931244254,852
12,0.00039703742368146777,930
12,0.00039395951898768544,842
12,0.0004142532852711156,927
12,0.0003884583420585841,921
12,0.00039081981230992824,840
12,0.0004118026845389977,922
12,0.0003892330569215119,922
12,0.0003931476821890101,845
12,0.00041382912604603916,926
12,0.00038876528560649604,916
12,0.00039313151501119137,840
12,0.0004126384010305628,924
12,0.00038816273445263505,920
12,0.00039338729402516037,841
12,0.00040955508302431554,917
12,0.0003942485054722056,929
12,0.00039523471787106246,845
12,0.0004134021437494084,926
12,0.00038851001590956,925
12,0.00039108471537474543,845
12,0.00040960618935059756,922
12,0.0003848203195957467,917
12,0.00039089708297979087,840
12,0.00041087921999860555,920
12,0.00039437679515685886,929
12,0.0003951828257413581,845
12,0.00041234570380765945,923
12,0.0003877577546518296,919
12,0.0003939215966966003,842
12,0.000411380038713105,921
