run_idx,k_center,E_k
0,4.140616091089793,0.017823463262516714
0,10.42184827326938,0.015089163701324002
0,16.703080455448966,0.01082297073254129
0,22.984312637628552,0.004713940127994636
0,29.265544819808138,0.003264274411875318
0,35.54677700198772,0.0016375497358573322
0,41.828009184167314,0.0012125580197389688
0,48.10924136634689,0.001005903925437086
0,54.39047354852649,0.000623116190248574
0,60.671705730706066,0.00045587700698345113
0,66.95293791288566,0.00038693710637114823
0,73.23417009506524,0.00035425867257108437
0,79.51540227724483,0.00032151425920792765
0,85.79663445942441,0.00029716721624089654
0,92.077866641604,0.0003020809678102033
0,98.35909882378358,0.0002578774253560143
0,104.64033100596318,0.00023764342848324184
0,110.92156318814276,0.00016715353245985072
0,117.20279537032235,0.00017402193429830632
0,123.48402755250193,0.00015528806985576593
0,129.76525973468154,0.0001497099104616135
0,136.0464919168611,0.00016787572858847555
0,142.32772409904067,0.00016128371268406036
0,148.6089562812203,0.00015931457558047987
0,154.89018846339985,0.0001521228584639971
0,161.17142064557947,0.00016086266076575952
0,167.45265282775904,0.00013744541450218275
0,173.7338850099386,0.0001371424401083107
0,180.01511719211823,0.00012671041313750523
0,186.2963493742978,0.00012109682090847747
0,192.57758155647736,0.00010796630972942233
0,198.85881373865698,9.62917441132512e-05
0,205.14004592083654,8.833562609296803e-05
0,211.42127810301616,7.196495762746428e-05
0,217.70251028519573,6.944300751275233e-05
0,223.9837424673753,6.0575920616037114e-05
0,230.26497464955492,5.960123940368497e-05
0,236.54620683173448,5.097331284276759e-05
0,242.82743901391405,4.5671532022562334e-05
0,249.10867119609367,4.2683380648824165e-05
0,255.38990337827323,3.684514580331578e-05
0,261.67113556045285,3.5472137868662486e-05
0,267.9523677426324,3.1374186467841705e-05
0,274.233599924812,3.0286921788129365e-05
0,280.51483210699155,2.793217030028744e-05
0,286.79606428917117,2.693367064796978e-05
0,293.0772964713508,2.6119665569782747e-05
0,299.35852865353036,2.5172371768410086e-05
0,305.6397608357099,2.4402327386643793e-05
0,311.9209930178895,2.3826606357700353e-05
0,318.2022252000691,2.3925704281054264e-05
0,324.48345738224873,2.3349746352543305e-05
0,330.7646895644283,2.22559054571183e-05
0,337.04592174660786,2.203409022278236e-05
0,343.3271539287874,2.18022877839313e-05
0,349.60838611096705,2.1410899744967875e-05
0,355.8896182931466,2.0282139163074256e-05
0,362.17085047532623,2.0445685996743553e-05
0,368.4520826575058,1.9791383211585918e-05
0,374.73331483968536,1.9679940484136986e-05
0,381.0145470218649,1.8788395407313327e-05
0,387.29577920404455,1.861755905784678e-05
0,393.57701138622417,1.7417161952654693e-05
0,399.85824356840374,1.7554043165993364e-05
0,406.1394757505833,1.668774824722712e-05
0,412.42070793276287,1.6053739913651043e-05
0,418.7019401149425,1.5571435467621022e-05
0,424.9831722971221,1.495773411114415e-05
0,431.2644044793017,1.5136276011988098e-05
0,437.54563666148124,1.4264047555765503e-05
0,443.8268688436608,1.3669818110615163e-05
0,450.1081010258404,1.378339608227594e-05
0,456.38933320802,1.3093258036165156e-05
0,462.6705653901996,1.2882297788191348e-05
0,468.9517975723792,1.244208988103537e-05
0,475.23302975455874,1.2148501736008012e-05
0,481.5142619367383,1.217047249573059e-05
0,487.79549411891793,1.1852433739534035e-05
0,494.07672630109755,1.1554203966722093e-05
0,500.3579584832771,1.1264975869774723e-05
0,506.6391906654567,1.116434834352387e-05
0,512.9204228476362,1.0689821714136137e-05
0,519.2016550298158,1.0897253497867069e-05
0,525.4828872119955,1.0338274234030082e-05
0,531.764119394175,1.0356373291417785e-05
0,538.0453515763546,1.0152431116260044e-05
0,544.3265837585342,1.0128337154204976e-05
0,550.6078159407137,9.94486079142326e-06
0,556.8890481228934,9.894261433757566e-06
0,563.170280305073,9.827681851497216e-06
0,569.4515124872526,9.816639467430589e-06
0,575.7327446694321,9.68810331254661e-06
0,582.0139768516117,9.352540931873038e-06
0,588.2952090337913,9.394789164580262e-06
0,594.5764412159709,9.109219073284961e-06
0,600.8576733981505,9.156094854467766e-06
0,607.1389055803301,8.974518392550017e-06
0,613.4201377625096,8.868510670029228e-06
0,619.7013699446893,8.804272016213618e-06
0,625.9826021268689,8.736824558732676e-06
0,632.2638343090484,8.79110755952293e-06
0,638.545066491228,8.588869325932966e-06
0,644.8262986734076,8.545243832790483e-06
0,651.1075308555871,8.59794302418517e-06
0,657.3887630377668,8.442354410589443e-06
0,663.6699952199464,8.409276084343337e-06
0,669.9512274021259,8.2848471779661e-06
0,676.2324595843055,8.553097728564708e-06
0,682.5136917664851,8.546169178317283e-06
0,688.7949239486647,8.492418638711134e-06
0,695.0761561308443,8.452966389067353e-06
0,701.3573883130239,8.53196530526333e-06
0,707.6386204952034,8.49073102710274e-06
0,713.919852677383,8.465012793113593e-06
0,720.2010848595626,8.394331041205292e-06
0,726.4823170417422,8.470934513713016e-06
0,732.7635492239218,8.434409044392842e-06
0,739.0447814061014,8.150836628587589e-06
0,745.326013588281,8.018904029916178e-06
0,751.6072457704605,7.946219301559239e-06
0,757.8884779526402,7.831510393079199e-06
0,764.1697101348198,7.745898363604362e-06
0,770.4509423169993,7.643717579428504e-06
0,776.7321744991789,7.655473990441511e-06
0,783.0134066813584,7.601372213942543e-06
0,789.294638863538,7.446652781487583e-06
0,795.5758710457177,7.404937858173976e-06
0,801.8571032278973,7.285382383554452e-06
0,808.1383354100768,7.205058463825399e-06
0,814.4195675922564,7.170585563572093e-06
0,820.7007997744361,7.096089936566665e-06
0,826.9820319566156,6.982215878730795e-06
0,833.2632641387952,6.850588300774071e-06
0,839.5444963209748,6.711562630297786e-06
0,845.8257285031543,6.660644127846305e-06
0,852.1069606853339,6.442590220216684e-06
0,858.3881928675136,6.47802489215978e-06
0,864.6694250496931,6.2547645750316e-06
0,870.9506572318727,6.212888500972041e-06
0,877.2318894140523,6.158438873939153e-06
0,883.5131215962318,6.014245865438753e-06
0,889.7943537784115,6.04124766450088e-06
0,896.0755859605911,5.869407964278106e-06
0,902.3568181427706,5.8123461419437165e-06
0,908.6380503249502,5.702851712374311e-06
0,914.9192825071298,5.679056994597205e-06
0,921.2005146893093,5.525164557696181e-06
0,927.481746871489,5.388830696432431e-06
0,933.7629790536686,5.33724033992657e-06
0,940.0442112358481,5.241287942998414e-06
0,946.3254434180277,5.179248070542411e-06
0,952.6066756002073,5.148406041517722e-06
0,958.887907782387,5.097580229492533e-06
0,965.1691399645665,4.991786369138956e-06
0,971.4503721467461,4.972536172512198e-06
0,977.7316043289256,4.891520864587018e-06
0,984.0128365111052,4.835759889325618e-06
0,990.2940686932848,4.821090151812984e-06
0,996.5753008754644,4.788469586222652e-06
0,1002.856533057644,4.784231998331046e-06
0,1009.1377652398236,4.737978156251816e-06
0,1015.4189974220031,4.653527383289604e-06
0,1021.7002296041827,4.662564870013062e-06
0,1027.9814617863622,4.647342204349649e-06
0,1034.262693968542,4.614756875970897e-06
0,1040.5439261507215,4.538398233449479e-06
0,1046.825158332901,4.550269149553729e-06
0,1053.1063905150809,4.447274249793004e-06
0,1059.3876226972602,4.435337471091699e-06
0,1065.66885487944,4.420781304284595e-06
0,1071.9500870616193,4.3754614083796356e-06
0,1078.2313192437991,4.402687566473059e-06
0,1084.5125514259785,4.350277844888536e-06
0,1090.7937836081583,4.351231848427371e-06
0,1097.0750157903376,4.417649165329968e-06
0,1103.3562479725174,4.3740278642925154e-06
0,1109.637480154697,4.386439599664035e-06
0,1115.9187123368765,4.432881633798826e-06
0,1122.1999445190563,4.396943988821457e-06
0,1128.4811767012357,4.440230177326586e-06
0,1134.7624088834154,4.446590264751965e-06
0,1141.0436410655948,4.472706580852535e-06
0,1147.3248732477746,4.521709492056143e-06
0,1153.606105429954,4.526481646527937e-06
0,1159.8873376121337,4.5713415748307115e-06
0,1166.168569794313,4.505040259596873e-06
0,1172.4498019764928,4.4974762672974815e-06
0,1178.7310341586726,4.5203098176246284e-06
0,1185.012266340852,4.48176075042608e-06
0,1191.2934985230318,4.4464596281029825e-06
0,1197.574730705211,4.454081176372432e-06
0,1203.855962887391,4.462304683409158e-06
0,1210.1371950695702,4.446747359655062e-06
0,1216.41842725175,4.437249405259264e-06
0,1222.6996594339294,4.440035991303581e-06
0,1228.9808916161091,4.46192151800286e-06
0,1235.2621237982885,4.458580655068857e-06
0,1241.5433559804683,4.464277479227927e-06
0,1247.824588162648,4.509967902016163e-06
0,1254.1058203448274,4.478200016078182e-06
0,1260.3870525270072,4.463882431703695e-06
0,1266.6682847091865,4.472703097338865e-06
0,1272.9495168913663,4.418491955775235e-06
0,1279.2307490735457,4.3615863413046415e-06
0,1285.5119812557255,4.363881187179527e-06
0,1291.7932134379048,4.34244352262405e-06
0,1298.0744456200846,4.328463425502412e-06
0,1304.3556778022642,4.338821264616596e-06
0,1310.6369099844437,4.340246001590171e-06
0,1316.9181421666235,4.334443060478052e-06
