scale,maxrank,compression
20,12,0.0005054473876953125
20,12,0.0005006790161132812
20,12,0.0005006790161132812
20,12,0.0005054473876953125
20,12,0.0005054473876953125
20,12,0.0005006790161132812
20,12,0.0005054473876953125
20,12,0.0005054473876953125
20,12,0.0005006790161132812
20,12,0.0005054473876953125
20,12,0.0005054473876953125
20,12,0.0005054473876953125
20,12,0.000492095947265625
20,12,0.0005054473876953125
20,12,0.0005054473876953125
20,12,0.0005006790161132812
20,12,0.0005006790161132812
