scale,maxrank,compression
20,11,0.0003871917724609375
20,11,0.0003871917724609375
20,11,0.0003871917724609375
20,11,0.0003871917724609375
20,11,0.0003871917724609375
20,11,0.00038242340087890625
20,11,0.0003871917724609375
20,11,0.0003871917724609375
20,11,0.00038242340087890625
20,11,0.0003871917724609375
20,11,0.0003871917724609375
20,11,0.0003871917724609375
20,11,0.00038242340087890625
20,11,0.0003871917724609375
20,11,0.0003871917724609375
20,11,0.00038242340087890625
20,11,0.0003871917724609375
